request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,CIC,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Learn,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Facebook | Learn
12,completed_without_short_link,CIC,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | LinkedIn | {null}
13,completed_without_short_link,CIC,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Learn,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | ConstantContact | Learn
14,completed_without_short_link,CIC,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Explore,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | ConstantContact | Explore
15,completed_without_short_link,CIC,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | ConstantContact | {null}
16,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,HoursAndAdmission,Visit,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Facebook | Visit
17,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,HoursAndAdmission,Learn,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Facebook | Learn
18,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,HoursAndAdmission,Explore,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Facebook | Explore
19,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,HoursAndAdmission,,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Facebook | {null}
20,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,HoursAndAdmission,Visit,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | GMB | Visit
21,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,HoursAndAdmission,Learn,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | GMB | Learn
22,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,HoursAndAdmission,Explore,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | GMB | Explore
23,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,HoursAndAdmission,,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | GMB | {null}
24,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,HoursAndAdmission,Visit,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Instagram | Visit
25,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,HoursAndAdmission,Learn,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Instagram | Learn
26,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,HoursAndAdmission,Explore,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Instagram | Explore
27,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,HoursAndAdmission,,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | Instagram | {null}
28,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,HoursAndAdmission,Visit,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | LinkedIn | Visit
29,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,HoursAndAdmission,Learn,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | LinkedIn | Learn
30,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,HoursAndAdmission,Explore,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | LinkedIn | Explore
31,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,HoursAndAdmission,,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=HoursAndAdmission,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | LinkedIn | {null}
32,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,HoursAndAdmission,Visit,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | ConstantContact | Visit
33,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,HoursAndAdmission,Learn,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | ConstantContact | Learn
34,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,HoursAndAdmission,Explore,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=HoursAndAdmission&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | ConstantContact | Explore
35,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,HoursAndAdmission,,https://www.castleintheclouds.org/hours-admission/,https://www.castleintheclouds.org/hours-admission/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=HoursAndAdmission,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Hours & Admission | ConstantContact | {null}
36,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,ThingsToDo,Visit,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Facebook | Visit
37,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,ThingsToDo,Learn,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Facebook | Learn
38,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,ThingsToDo,Explore,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Facebook | Explore
39,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,ThingsToDo,,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Facebook | {null}
40,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,ThingsToDo,Visit,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | GMB | Visit
41,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,ThingsToDo,Learn,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | GMB | Learn
42,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,ThingsToDo,Explore,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | GMB | Explore
43,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,ThingsToDo,,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | GMB | {null}
44,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,ThingsToDo,Visit,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Instagram | Visit
45,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,ThingsToDo,Learn,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Instagram | Learn
46,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,ThingsToDo,Explore,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Instagram | Explore
47,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,ThingsToDo,,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | Instagram | {null}
48,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,ThingsToDo,Visit,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | LinkedIn | Visit
49,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,ThingsToDo,Learn,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | LinkedIn | Learn
50,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,ThingsToDo,Explore,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | LinkedIn | Explore
51,completed_without_short_link,CIC,LinkedIn,social,Visit,Visit,LinkedIn,Social,Visit,ThingsToDo,,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Visit&utm_term=ThingsToDo,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | LinkedIn | {null}
52,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,ThingsToDo,Visit,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | ConstantContact | Visit
53,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,ThingsToDo,Learn,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | ConstantContact | Learn
54,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,ThingsToDo,Explore,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=ThingsToDo&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | ConstantContact | Explore
55,completed_without_short_link,CIC,ConstantContact,email,Visit,Visit,ConstantContact,Email,Visit,ThingsToDo,,https://www.castleintheclouds.org/things-to-do/,https://www.castleintheclouds.org/things-to-do/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Visit&utm_term=ThingsToDo,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Things to Do | ConstantContact | {null}
56,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,Mansion,Visit,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Facebook | Visit
57,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,Mansion,Learn,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Facebook | Learn
58,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,Mansion,Explore,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Facebook | Explore
59,completed_without_short_link,CIC,Facebook,social,Visit,Visit,Facebook,Social,Visit,Mansion,,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Facebook&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Facebook | {null}
60,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,Mansion,Visit,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | GMB | Visit
61,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,Mansion,Learn,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | GMB | Learn
62,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,Mansion,Explore,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | GMB | Explore
63,completed_without_short_link,CIC,GMB,social,Visit,Visit,GMB,Social,Visit,Mansion,,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=GMB&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | GMB | {null}
64,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,Mansion,Visit,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Visit,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Instagram | Visit
65,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,Mansion,Learn,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Instagram | Learn
66,completed_without_short_link,CIC,Instagram,social,Visit,Visit,Instagram,Social,Visit,Mansion,Explore,https://www.castleintheclouds.org/things-to-do/museum/,https://www.castleintheclouds.org/things-to-do/museum/?utm_source=Instagram&utm_medium=Social&utm_campaign=Visit&utm_term=Mansion&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | The Mansion | Instagram | Explore
