request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,GAS,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Read,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Facebook | Read
12,completed_without_short_link,GAS,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Instagram | {null}
13,completed_without_short_link,GAS,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Read,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | LinkedIn | Read
14,completed_without_short_link,GAS,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Learn,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | LinkedIn | Learn
15,completed_without_short_link,GAS,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Explore,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | LinkedIn | Explore
16,completed_without_short_link,GAS,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | LinkedIn | {null}
17,completed_without_short_link,GAS,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Read,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | ConstantContact | Read
18,completed_without_short_link,GAS,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Learn,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | ConstantContact | Learn
19,completed_without_short_link,GAS,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Explore,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | ConstantContact | Explore
20,completed_without_short_link,GAS,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | ConstantContact | {null}
21,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,LandingPage,Read,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Facebook | Read
22,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,LandingPage,Learn,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Facebook | Learn
23,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,LandingPage,Explore,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Facebook | Explore
24,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,LandingPage,,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Facebook | {null}
25,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,LandingPage,Read,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | GMB | Read
26,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,LandingPage,Learn,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | GMB | Learn
27,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,LandingPage,Explore,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | GMB | Explore
28,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,LandingPage,,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | GMB | {null}
29,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,LandingPage,Read,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Instagram | Read
30,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,LandingPage,Learn,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Instagram | Learn
31,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,LandingPage,Explore,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Instagram | Explore
32,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,LandingPage,,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | Instagram | {null}
33,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,LandingPage,Read,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | LinkedIn | Read
34,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,LandingPage,Learn,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | LinkedIn | Learn
35,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,LandingPage,Explore,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | LinkedIn | Explore
36,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,LandingPage,,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | LinkedIn | {null}
37,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,LandingPage,Read,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | ConstantContact | Read
38,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,LandingPage,Learn,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | ConstantContact | Learn
39,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,LandingPage,Explore,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | ConstantContact | Explore
40,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,LandingPage,,https://guardianangelseniorservices.com/about/,https://guardianangelseniorservices.com/about/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | About | ConstantContact | {null}
41,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Team,Read,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Facebook | Read
42,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Team,Learn,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Facebook | Learn
43,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Team,Explore,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Facebook | Explore
44,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Team,,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Team,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Facebook | {null}
45,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Team,Read,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | GMB | Read
46,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Team,Learn,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | GMB | Learn
47,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Team,Explore,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | GMB | Explore
48,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Team,,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Team,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | GMB | {null}
49,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Team,Read,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Instagram | Read
50,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Team,Learn,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Instagram | Learn
51,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Team,Explore,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Instagram | Explore
52,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Team,,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Team,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | Instagram | {null}
53,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,Team,Read,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | LinkedIn | Read
54,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,Team,Learn,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | LinkedIn | Learn
55,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,Team,Explore,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=Team&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | LinkedIn | Explore
56,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,Team,,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=Team,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | LinkedIn | {null}
57,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,Team,Read,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=Team&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | ConstantContact | Read
58,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,Team,Learn,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=Team&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | ConstantContact | Learn
59,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,Team,Explore,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=Team&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | ConstantContact | Explore
60,completed_without_short_link,GAS,ConstantContact,email,About,About,ConstantContact,Email,About,Team,,https://guardianangelseniorservices.com/team/,https://guardianangelseniorservices.com/team/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=About&utm_term=Team,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Team | ConstantContact | {null}
61,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Locations,Read,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Facebook | Read
62,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Locations,Learn,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Facebook | Learn
63,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Locations,Explore,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Facebook | Explore
64,completed_without_short_link,GAS,Facebook,social,About,About,Facebook,Social,About,Locations,,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Facebook&utm_medium=Social&utm_campaign=About&utm_term=Locations,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Facebook | {null}
65,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Locations,Read,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | GMB | Read
66,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Locations,Learn,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | GMB | Learn
67,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Locations,Explore,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | GMB | Explore
68,completed_without_short_link,GAS,GMB,social,About,About,GMB,Social,About,Locations,,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=GMB&utm_medium=Social&utm_campaign=About&utm_term=Locations,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | GMB | {null}
69,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Locations,Read,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Instagram | Read
70,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Locations,Learn,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Instagram | Learn
71,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Locations,Explore,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Instagram | Explore
72,completed_without_short_link,GAS,Instagram,social,About,About,Instagram,Social,About,Locations,,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=Instagram&utm_medium=Social&utm_campaign=About&utm_term=Locations,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | Instagram | {null}
73,completed_without_short_link,GAS,LinkedIn,social,About,About,LinkedIn,Social,About,Locations,Read,https://guardianangelseniorservices.com/locations/,https://guardianangelseniorservices.com/locations/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=About&utm_term=Locations&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Locations | LinkedIn | Read
