request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,SFG,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Facebook | Shop
12,completed_without_short_link,SFG,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,,https://studleys.com/,https://studleys.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Instagram | {null}
13,completed_without_short_link,SFG,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | LinkedIn | Shop
14,completed_without_short_link,SFG,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Learn,https://studleys.com/,https://studleys.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | LinkedIn | Learn
15,completed_without_short_link,SFG,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Explore,https://studleys.com/,https://studleys.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | LinkedIn | Explore
16,completed_without_short_link,SFG,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,,https://studleys.com/,https://studleys.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | LinkedIn | {null}
17,completed_without_short_link,SFG,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | ConstantContact | Shop
18,completed_without_short_link,SFG,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Learn,https://studleys.com/,https://studleys.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | ConstantContact | Learn
19,completed_without_short_link,SFG,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,Explore,https://studleys.com/,https://studleys.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | ConstantContact | Explore
20,completed_without_short_link,SFG,ConstantContact,email,HomePage,HomePage,ConstantContact,Email,HomePage,LandingPage,,https://studleys.com/,https://studleys.com/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | ConstantContact | {null}
21,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,LandingPage,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Facebook | Shop
22,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,LandingPage,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Facebook | Learn
23,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,LandingPage,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Facebook | Explore
24,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,LandingPage,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Facebook | {null}
25,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,LandingPage,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | GMB | Shop
26,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,LandingPage,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | GMB | Learn
27,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,LandingPage,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | GMB | Explore
28,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,LandingPage,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | GMB | {null}
29,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,LandingPage,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Instagram | Shop
30,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,LandingPage,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Instagram | Learn
31,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,LandingPage,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Instagram | Explore
32,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,LandingPage,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | Instagram | {null}
33,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,LandingPage,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | LinkedIn | Shop
34,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,LandingPage,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | LinkedIn | Learn
35,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,LandingPage,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | LinkedIn | Explore
36,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,LandingPage,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | LinkedIn | {null}
37,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,LandingPage,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | ConstantContact | Shop
38,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,LandingPage,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | ConstantContact | Learn
39,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,LandingPage,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | ConstantContact | Explore
40,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,LandingPage,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Flowers | ConstantContact | {null}
41,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,AllFlowers,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Facebook | Shop
42,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,AllFlowers,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Facebook | Learn
43,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,AllFlowers,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Facebook | Explore
44,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,AllFlowers,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Facebook | {null}
45,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,AllFlowers,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | GMB | Shop
46,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,AllFlowers,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | GMB | Learn
47,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,AllFlowers,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | GMB | Explore
48,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,AllFlowers,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | GMB | {null}
49,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,AllFlowers,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Instagram | Shop
50,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,AllFlowers,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Instagram | Learn
51,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,AllFlowers,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Instagram | Explore
52,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,AllFlowers,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | Instagram | {null}
53,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,AllFlowers,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | LinkedIn | Shop
54,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,AllFlowers,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | LinkedIn | Learn
55,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,AllFlowers,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | LinkedIn | Explore
56,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,AllFlowers,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=AllFlowers,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | LinkedIn | {null}
57,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,AllFlowers,Shop,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | ConstantContact | Shop
58,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,AllFlowers,Learn,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | ConstantContact | Learn
59,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,AllFlowers,Explore,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=AllFlowers&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | ConstantContact | Explore
60,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,AllFlowers,,https://studleys.com/product-category/flowers/,https://studleys.com/product-category/flowers/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=AllFlowers,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | All Flowers | ConstantContact | {null}
61,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,Summer,Shop,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Facebook | Shop
62,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,Summer,Learn,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Facebook | Learn
63,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,Summer,Explore,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Facebook | Explore
64,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,Summer,,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=Summer,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Facebook | {null}
65,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,Summer,Shop,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | GMB | Shop
66,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,Summer,Learn,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | GMB | Learn
67,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,Summer,Explore,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | GMB | Explore
68,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,Summer,,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=Summer,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | GMB | {null}
69,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,Summer,Shop,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Instagram | Shop
70,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,Summer,Learn,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Instagram | Learn
71,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,Summer,Explore,https://studleys.com/product-category/flowers/summer/,https://studleys.com/product-category/flowers/summer/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=Summer&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Summer | Instagram | Explore
